"item","count","station_id_tally","date_tally","material","filename"
"Bag - reusable",0,"3","44534","Plastic","Site 3_12-04-2021/Data for Site #03 12-04-21.xlsx"
"Bag - single use",0,"3","44534","Plastic","Site 3_12-04-2021/Data for Site #03 12-04-21.xlsx"
"Bag Pieces*",5,"3","44534","Plastic","Site 3_12-04-2021/Data for Site #03 12-04-21.xlsx"
"Balloons",0,"3","44534","Plastic","Site 3_12-04-2021/Data for Site #03 12-04-21.xlsx"
"Beverage Bottles",0,"3","44534","Plastic","Site 3_12-04-2021/Data for Site #03 12-04-21.xlsx"
"Chip Bags",0,"3","44534","Plastic","Site 3_12-04-2021/Data for Site #03 12-04-21.xlsx"
"Cigar Tips",0,"3","44534","Plastic","Site 3_12-04-2021/Data for Site #03 12-04-21.xlsx"
"Cigarette Butts",0,"3","44534","Plastic","Site 3_12-04-2021/Data for Site #03 12-04-21.xlsx"
"Cigarette - Electronic",0,"3","44534","Plastic","Site 3_12-04-2021/Data for Site #03 12-04-21.xlsx"
"Container Cap/Pieces",0,"3","44534","Plastic","Site 3_12-04-2021/Data for Site #03 12-04-21.xlsx"
"Cups",1,"3","44534","Plastic","Site 3_12-04-2021/Data for Site #03 12-04-21.xlsx"
"Foam Cups",0,"3","44534","Plastic","Site 3_12-04-2021/Data for Site #03 12-04-21.xlsx"
"Foam Food Containers",0,"3","44534","Plastic","Site 3_12-04-2021/Data for Site #03 12-04-21.xlsx"
"Foam Other Containers",0,"3","44534","Plastic","Site 3_12-04-2021/Data for Site #03 12-04-21.xlsx"
"Foam Pieces/Balls/Pellets/Peanuts*",2,"3","44534","Plastic","Site 3_12-04-2021/Data for Site #03 12-04-21.xlsx"
"Foam Plate",0,"3","44534","Plastic","Site 3_12-04-2021/Data for Site #03 12-04-21.xlsx"
"Hard Plastic Container",0,"3","44534","Plastic","Site 3_12-04-2021/Data for Site #03 12-04-21.xlsx"
"Hard Plastic Pieces",4,"3","44534","Plastic","Site 3_12-04-2021/Data for Site #03 12-04-21.xlsx"
"Lid",0,"3","44534","Plastic","Site 3_12-04-2021/Data for Site #03 12-04-21.xlsx"
"Lighters",0,"3","44534","Plastic","Site 3_12-04-2021/Data for Site #03 12-04-21.xlsx"
"Pens/Markers",0,"3","44534","Plastic","Site 3_12-04-2021/Data for Site #03 12-04-21.xlsx"
"Plastic 6-Pack Holder",0,"3","44534","Plastic","Site 3_12-04-2021/Data for Site #03 12-04-21.xlsx"
"Plastic Bottles",0,"3","44534","Plastic","Site 3_12-04-2021/Data for Site #03 12-04-21.xlsx"
"Plastic Pipe",0,"3","44534","Plastic","Site 3_12-04-2021/Data for Site #03 12-04-21.xlsx"
"Plastic Straw Wrapper",0,"3","44534","Plastic","Site 3_12-04-2021/Data for Site #03 12-04-21.xlsx"
"Plates",0,"3","44534","Plastic","Site 3_12-04-2021/Data for Site #03 12-04-21.xlsx"
"Single Use Container",0,"3","44534","Plastic","Site 3_12-04-2021/Data for Site #03 12-04-21.xlsx"
"Soft Plastic Pieces*",1,"3","44534","Plastic","Site 3_12-04-2021/Data for Site #03 12-04-21.xlsx"
"Straw/Stirrer",0,"3","44534","Plastic","Site 3_12-04-2021/Data for Site #03 12-04-21.xlsx"
"Tarp",0,"3","44534","Plastic","Site 3_12-04-2021/Data for Site #03 12-04-21.xlsx"
"Tobacco Wrapper/Pieces",0,"3","44534","Plastic","Site 3_12-04-2021/Data for Site #03 12-04-21.xlsx"
"Wrapper/Wrapper Pieces*",2,"3","44534","Plastic","Site 3_12-04-2021/Data for Site #03 12-04-21.xlsx"
"Plastic Other (describe)",1,"3","44534","Plastic","Site 3_12-04-2021/Data for Site #03 12-04-21.xlsx"
"fishing line",0,"3","44534",NA,"Site 3_12-04-2021/Data for Site #03 12-04-21.xlsx"
"Natural (Cotton, Wool)",2,"3","44534","Fabric and Cloth","Site 3_12-04-2021/Data for Site #03 12-04-21.xlsx"
"Shoes",0,"3","44534","Fabric and Cloth","Site 3_12-04-2021/Data for Site #03 12-04-21.xlsx"
"Synthetic Fabric",22,"3","44534","Fabric and Cloth","Site 3_12-04-2021/Data for Site #03 12-04-21.xlsx"
"Tent/Sleeping bag",0,"3","44534","Fabric and Cloth","Site 3_12-04-2021/Data for Site #03 12-04-21.xlsx"
"Fabric Other (describe)",3,"3","44534","Fabric and Cloth","Site 3_12-04-2021/Data for Site #03 12-04-21.xlsx"
"2 pieces cloth tape; rope",0,"3","44534",NA,"Site 3_12-04-2021/Data for Site #03 12-04-21.xlsx"
"Furniture/Appliances",0,"3","44534","Large Items","Site 3_12-04-2021/Data for Site #03 12-04-21.xlsx"
"Garbage Bags of Trash",0,"3","44534","Large Items","Site 3_12-04-2021/Data for Site #03 12-04-21.xlsx"
"Shopping Carts",0,"3","44534","Large Items","Site 3_12-04-2021/Data for Site #03 12-04-21.xlsx"
"Tires",0,"3","44534","Large Items","Site 3_12-04-2021/Data for Site #03 12-04-21.xlsx"
"Large Other  (describe)",0,"3","44534","Large Items","Site 3_12-04-2021/Data for Site #03 12-04-21.xlsx"
"Food Waste",0,"3","44534","Biodegradable","Site 3_12-04-2021/Data for Site #03 12-04-21.xlsx"
"Paper/ cardboard",0,"3","44534","Biodegradable","Site 3_12-04-2021/Data for Site #03 12-04-21.xlsx"
"Yard Waste/Leaf piles*",0,"3","44534","Biodegradable","Site 3_12-04-2021/Data for Site #03 12-04-21.xlsx"
"Biodegradable Other (describe)",0,"3","44534","Biodegradable","Site 3_12-04-2021/Data for Site #03 12-04-21.xlsx"
"Condoms",0,"3","44534","Biohazard","Site 3_12-04-2021/Data for Site #03 12-04-21.xlsx"
"Dead Animals",0,"3","44534","Biohazard","Site 3_12-04-2021/Data for Site #03 12-04-21.xlsx"
"Human Waste/Diapers/TP",0,"3","44534","Biohazard","Site 3_12-04-2021/Data for Site #03 12-04-21.xlsx"
"Medical waste",0,"3","44534","Biohazard","Site 3_12-04-2021/Data for Site #03 12-04-21.xlsx"
"Pet Waste",0,"3","44534","Biohazard","Site 3_12-04-2021/Data for Site #03 12-04-21.xlsx"
"Biohazard Other",0,"3","44534","Biohazard","Site 3_12-04-2021/Data for Site #03 12-04-21.xlsx"
"PPO-Latex Gloves",1,"3","44534","Biohazard","Site 3_12-04-2021/Data for Site #03 12-04-21.xlsx"
"PPO-Face Masks",0,"3","44534","Biohazard","Site 3_12-04-2021/Data for Site #03 12-04-21.xlsx"
"Bricks",3,"3","44534","Construction","Site 3_12-04-2021/Data for Site #03 12-04-21.xlsx"
"Concrete/Asphalt",7,"3","44534","Construction","Site 3_12-04-2021/Data for Site #03 12-04-21.xlsx"
"Fabricated Wood",0,"3","44534","Construction","Site 3_12-04-2021/Data for Site #03 12-04-21.xlsx"
"Rebar",0,"3","44534","Construction","Site 3_12-04-2021/Data for Site #03 12-04-21.xlsx"
"Construction Other (describe)",0,"3","44534","Construction","Site 3_12-04-2021/Data for Site #03 12-04-21.xlsx"
