"item","count","station_id_tally","date_tally","material","filename"
"Bag - reusable",2,"0.0",NA,"Plastic","Site 0_10-20-2021/Site #0 10_20_21.xlsx"
"Bag - single use",1,"0.0",NA,"Plastic","Site 0_10-20-2021/Site #0 10_20_21.xlsx"
"Bag Pieces*",0,"0.0",NA,"Plastic","Site 0_10-20-2021/Site #0 10_20_21.xlsx"
"Balloons",0,"0.0",NA,"Plastic","Site 0_10-20-2021/Site #0 10_20_21.xlsx"
"Beverage Bottles",1,"0.0",NA,"Plastic","Site 0_10-20-2021/Site #0 10_20_21.xlsx"
"Chip Bags",1,"0.0",NA,"Plastic","Site 0_10-20-2021/Site #0 10_20_21.xlsx"
"Cigar Tips",0,"0.0",NA,"Plastic","Site 0_10-20-2021/Site #0 10_20_21.xlsx"
"Cigarette Butts",0,"0.0",NA,"Plastic","Site 0_10-20-2021/Site #0 10_20_21.xlsx"
"Cigarette - Electronic",0,"0.0",NA,"Plastic","Site 0_10-20-2021/Site #0 10_20_21.xlsx"
"Container Cap/Pieces",0,"0.0",NA,"Plastic","Site 0_10-20-2021/Site #0 10_20_21.xlsx"
"Cups",0,"0.0",NA,"Plastic","Site 0_10-20-2021/Site #0 10_20_21.xlsx"
"Foam Cups",0,"0.0",NA,"Plastic","Site 0_10-20-2021/Site #0 10_20_21.xlsx"
"Foam Food Containers",0,"0.0",NA,"Plastic","Site 0_10-20-2021/Site #0 10_20_21.xlsx"
"Foam Other Containers",0,"0.0",NA,"Plastic","Site 0_10-20-2021/Site #0 10_20_21.xlsx"
"Foam Pieces/Balls/Pellets/Peanuts*",0,"0.0",NA,"Plastic","Site 0_10-20-2021/Site #0 10_20_21.xlsx"
"Foam Plate",0,"0.0",NA,"Plastic","Site 0_10-20-2021/Site #0 10_20_21.xlsx"
"Hard Plastic Container",0,"0.0",NA,"Plastic","Site 0_10-20-2021/Site #0 10_20_21.xlsx"
"Hard Plastic Pieces",2,"0.0",NA,"Plastic","Site 0_10-20-2021/Site #0 10_20_21.xlsx"
"Lid",0,"0.0",NA,"Plastic","Site 0_10-20-2021/Site #0 10_20_21.xlsx"
"Lighters",0,"0.0",NA,"Plastic","Site 0_10-20-2021/Site #0 10_20_21.xlsx"
"Pens/Markers",0,"0.0",NA,"Plastic","Site 0_10-20-2021/Site #0 10_20_21.xlsx"
"Plastic 6-Pack Holder",0,"0.0",NA,"Plastic","Site 0_10-20-2021/Site #0 10_20_21.xlsx"
"Plastic Bottles",0,"0.0",NA,"Plastic","Site 0_10-20-2021/Site #0 10_20_21.xlsx"
