"item","count","station_id_tally","date_tally","material","filename"
"Bag - reusable",1,"24.0","44499.0","Plastic","Site 24_10-30-2021/Data for Site #24-relocated 10_30_21.xlsx"
"Bag - single use",2,"24.0","44499.0","Plastic","Site 24_10-30-2021/Data for Site #24-relocated 10_30_21.xlsx"
"Bag Pieces*",3,"24.0","44499.0","Plastic","Site 24_10-30-2021/Data for Site #24-relocated 10_30_21.xlsx"
"Balloons",0,"24.0","44499.0","Plastic","Site 24_10-30-2021/Data for Site #24-relocated 10_30_21.xlsx"
"Beverage Bottles",0,"24.0","44499.0","Plastic","Site 24_10-30-2021/Data for Site #24-relocated 10_30_21.xlsx"
"Chip Bags",1,"24.0","44499.0","Plastic","Site 24_10-30-2021/Data for Site #24-relocated 10_30_21.xlsx"
"Cigar Tips",0,"24.0","44499.0","Plastic","Site 24_10-30-2021/Data for Site #24-relocated 10_30_21.xlsx"
"Cigarette Butts",0,"24.0","44499.0","Plastic","Site 24_10-30-2021/Data for Site #24-relocated 10_30_21.xlsx"
"Cigarette - Electronic",0,"24.0","44499.0","Plastic","Site 24_10-30-2021/Data for Site #24-relocated 10_30_21.xlsx"
"Container Cap/Pieces",0,"24.0","44499.0","Plastic","Site 24_10-30-2021/Data for Site #24-relocated 10_30_21.xlsx"
"Cups",1,"24.0","44499.0","Plastic","Site 24_10-30-2021/Data for Site #24-relocated 10_30_21.xlsx"
"Foam Cups",0,"24.0","44499.0","Plastic","Site 24_10-30-2021/Data for Site #24-relocated 10_30_21.xlsx"
"Foam Food Containers",0,"24.0","44499.0","Plastic","Site 24_10-30-2021/Data for Site #24-relocated 10_30_21.xlsx"
"Foam Other Containers",0,"24.0","44499.0","Plastic","Site 24_10-30-2021/Data for Site #24-relocated 10_30_21.xlsx"
"Foam Pieces/Balls/Pellets/Peanuts*",0,"24.0","44499.0","Plastic","Site 24_10-30-2021/Data for Site #24-relocated 10_30_21.xlsx"
"Foam Plate",0,"24.0","44499.0","Plastic","Site 24_10-30-2021/Data for Site #24-relocated 10_30_21.xlsx"
"Hard Plastic Container",5,"24.0","44499.0","Plastic","Site 24_10-30-2021/Data for Site #24-relocated 10_30_21.xlsx"
"Hard Plastic Pieces",0,"24.0","44499.0","Plastic","Site 24_10-30-2021/Data for Site #24-relocated 10_30_21.xlsx"
"Lid",0,"24.0","44499.0","Plastic","Site 24_10-30-2021/Data for Site #24-relocated 10_30_21.xlsx"
"Lighters",0,"24.0","44499.0","Plastic","Site 24_10-30-2021/Data for Site #24-relocated 10_30_21.xlsx"
"Pens/Markers",0,"24.0","44499.0","Plastic","Site 24_10-30-2021/Data for Site #24-relocated 10_30_21.xlsx"
"Plastic 6-Pack Holder",0,"24.0","44499.0","Plastic","Site 24_10-30-2021/Data for Site #24-relocated 10_30_21.xlsx"
"Plastic Bottles",3,"24.0","44499.0","Plastic","Site 24_10-30-2021/Data for Site #24-relocated 10_30_21.xlsx"
