"item","count","station_id_tally","date_tally","material","filename"
"Bag - reusable",0,"14.0","44485.0","Plastic","Site 14_10-16-2021/Data for Site #14 10_16_21.xlsx"
"Bag - single use",0,"14.0","44485.0","Plastic","Site 14_10-16-2021/Data for Site #14 10_16_21.xlsx"
"Bag Pieces*",0,"14.0","44485.0","Plastic","Site 14_10-16-2021/Data for Site #14 10_16_21.xlsx"
"Balloons",0,"14.0","44485.0","Plastic","Site 14_10-16-2021/Data for Site #14 10_16_21.xlsx"
"Beverage Bottles",0,"14.0","44485.0","Plastic","Site 14_10-16-2021/Data for Site #14 10_16_21.xlsx"
"Chip Bags",0,"14.0","44485.0","Plastic","Site 14_10-16-2021/Data for Site #14 10_16_21.xlsx"
"Cigar Tips",0,"14.0","44485.0","Plastic","Site 14_10-16-2021/Data for Site #14 10_16_21.xlsx"
"Cigarette Butts",10,"14.0","44485.0","Plastic","Site 14_10-16-2021/Data for Site #14 10_16_21.xlsx"
"Cigarette - Electronic",0,"14.0","44485.0","Plastic","Site 14_10-16-2021/Data for Site #14 10_16_21.xlsx"
"Container Cap/Pieces",0,"14.0","44485.0","Plastic","Site 14_10-16-2021/Data for Site #14 10_16_21.xlsx"
"Cups",0,"14.0","44485.0","Plastic","Site 14_10-16-2021/Data for Site #14 10_16_21.xlsx"
"Foam Cups",1,"14.0","44485.0","Plastic","Site 14_10-16-2021/Data for Site #14 10_16_21.xlsx"
"Foam Food Containers",0,"14.0","44485.0","Plastic","Site 14_10-16-2021/Data for Site #14 10_16_21.xlsx"
"Foam Other Containers",0,"14.0","44485.0","Plastic","Site 14_10-16-2021/Data for Site #14 10_16_21.xlsx"
"Foam Pieces/Balls/Pellets/Peanuts*",4,"14.0","44485.0","Plastic","Site 14_10-16-2021/Data for Site #14 10_16_21.xlsx"
"Foam Plate",0,"14.0","44485.0","Plastic","Site 14_10-16-2021/Data for Site #14 10_16_21.xlsx"
"Hard Plastic Container",0,"14.0","44485.0","Plastic","Site 14_10-16-2021/Data for Site #14 10_16_21.xlsx"
"Hard Plastic Pieces",0,"14.0","44485.0","Plastic","Site 14_10-16-2021/Data for Site #14 10_16_21.xlsx"
"Lid",0,"14.0","44485.0","Plastic","Site 14_10-16-2021/Data for Site #14 10_16_21.xlsx"
"Lighters",0,"14.0","44485.0","Plastic","Site 14_10-16-2021/Data for Site #14 10_16_21.xlsx"
"Pens/Markers",0,"14.0","44485.0","Plastic","Site 14_10-16-2021/Data for Site #14 10_16_21.xlsx"
"Plastic 6-Pack Holder",0,"14.0","44485.0","Plastic","Site 14_10-16-2021/Data for Site #14 10_16_21.xlsx"
"Plastic Bottles",5,"14.0","44485.0","Plastic","Site 14_10-16-2021/Data for Site #14 10_16_21.xlsx"
"Plastic Pipe",0,"14.0","44485.0","Plastic","Site 14_10-16-2021/Data for Site #14 10_16_21.xlsx"
"Plastic Straw Wrapper",0,"14.0","44485.0","Plastic","Site 14_10-16-2021/Data for Site #14 10_16_21.xlsx"
"Plates",0,"14.0","44485.0","Plastic","Site 14_10-16-2021/Data for Site #14 10_16_21.xlsx"
"Single Use Container",0,"14.0","44485.0","Plastic","Site 14_10-16-2021/Data for Site #14 10_16_21.xlsx"
"Soft Plastic Pieces*",2,"14.0","44485.0","Plastic","Site 14_10-16-2021/Data for Site #14 10_16_21.xlsx"
"Straw/Stirrer",0,"14.0","44485.0","Plastic","Site 14_10-16-2021/Data for Site #14 10_16_21.xlsx"
"Tarp",0,"14.0","44485.0","Plastic","Site 14_10-16-2021/Data for Site #14 10_16_21.xlsx"
"Tobacco Wrapper/Pieces",0,"14.0","44485.0","Plastic","Site 14_10-16-2021/Data for Site #14 10_16_21.xlsx"
"Wrapper/Wrapper Pieces*",0,"14.0","44485.0","Plastic","Site 14_10-16-2021/Data for Site #14 10_16_21.xlsx"
"Plastic Other (describe)",8,"14.0","44485.0","Plastic","Site 14_10-16-2021/Data for Site #14 10_16_21.xlsx"
"Natural (Cotton, Wool)",0,"14.0","44485.0","Fabric and Cloth","Site 14_10-16-2021/Data for Site #14 10_16_21.xlsx"
"Shoes",0,"14.0","44485.0","Fabric and Cloth","Site 14_10-16-2021/Data for Site #14 10_16_21.xlsx"
"Synthetic Fabric",0,"14.0","44485.0","Fabric and Cloth","Site 14_10-16-2021/Data for Site #14 10_16_21.xlsx"
"Tent/Sleeping bag",0,"14.0","44485.0","Fabric and Cloth","Site 14_10-16-2021/Data for Site #14 10_16_21.xlsx"
"Fabric Other (describe)",0,"14.0","44485.0","Fabric and Cloth","Site 14_10-16-2021/Data for Site #14 10_16_21.xlsx"
"Furniture/Appliances",0,"14.0","44485.0","Large Items","Site 14_10-16-2021/Data for Site #14 10_16_21.xlsx"
"Garbage Bags of Trash",0,"14.0","44485.0","Large Items","Site 14_10-16-2021/Data for Site #14 10_16_21.xlsx"
"Shopping Carts",0,"14.0","44485.0","Large Items","Site 14_10-16-2021/Data for Site #14 10_16_21.xlsx"
"Tires",0,"14.0","44485.0","Large Items","Site 14_10-16-2021/Data for Site #14 10_16_21.xlsx"
"Large Other  (describe)",0,"14.0","44485.0","Large Items","Site 14_10-16-2021/Data for Site #14 10_16_21.xlsx"
"Food Waste",0,"14.0","44485.0","Biodegradable","Site 14_10-16-2021/Data for Site #14 10_16_21.xlsx"
"Paper/ cardboard",5,"14.0","44485.0","Biodegradable","Site 14_10-16-2021/Data for Site #14 10_16_21.xlsx"
"Yard Waste/Leaf piles*",0,"14.0","44485.0","Biodegradable","Site 14_10-16-2021/Data for Site #14 10_16_21.xlsx"
"Biodegradable Other (describe)",1,"14.0","44485.0","Biodegradable","Site 14_10-16-2021/Data for Site #14 10_16_21.xlsx"
"Condoms",0,"14.0","44485.0","Biohazard","Site 14_10-16-2021/Data for Site #14 10_16_21.xlsx"
"Dead Animals",0,"14.0","44485.0","Biohazard","Site 14_10-16-2021/Data for Site #14 10_16_21.xlsx"
"Human Waste/Diapers/TP",0,"14.0","44485.0","Biohazard","Site 14_10-16-2021/Data for Site #14 10_16_21.xlsx"
"Medical waste",0,"14.0","44485.0","Biohazard","Site 14_10-16-2021/Data for Site #14 10_16_21.xlsx"
"Pet Waste",0,"14.0","44485.0","Biohazard","Site 14_10-16-2021/Data for Site #14 10_16_21.xlsx"
"Biohazard Other",0,"14.0","44485.0","Biohazard","Site 14_10-16-2021/Data for Site #14 10_16_21.xlsx"
"PPO-Latex Gloves",0,"14.0","44485.0","Biohazard","Site 14_10-16-2021/Data for Site #14 10_16_21.xlsx"
"PPO-Face Masks",0,"14.0","44485.0","Biohazard","Site 14_10-16-2021/Data for Site #14 10_16_21.xlsx"
"Bricks",0,"14.0","44485.0","Construction","Site 14_10-16-2021/Data for Site #14 10_16_21.xlsx"
"Concrete/Asphalt",1,"14.0","44485.0","Construction","Site 14_10-16-2021/Data for Site #14 10_16_21.xlsx"
"Fabricated Wood",0,"14.0","44485.0","Construction","Site 14_10-16-2021/Data for Site #14 10_16_21.xlsx"
"Rebar",0,"14.0","44485.0","Construction","Site 14_10-16-2021/Data for Site #14 10_16_21.xlsx"
"Construction Other (describe)",0,"14.0","44485.0","Construction","Site 14_10-16-2021/Data for Site #14 10_16_21.xlsx"
"Glass Bottles",2,"14.0","44485.0","Glass","Site 14_10-16-2021/Data for Site #14 10_16_21.xlsx"
"Glass Pieces*",0,"14.0","44485.0","Glass","Site 14_10-16-2021/Data for Site #14 10_16_21.xlsx"
"Glass Other (describe)",0,"14.0","44485.0","Glass","Site 14_10-16-2021/Data for Site #14 10_16_21.xlsx"
"Aluminum Foil pieces*",0,"14.0","44485.0","Metal","Site 14_10-16-2021/Data for Site #14 10_16_21.xlsx"
"Aluminum or Steel Cans",0,"14.0","44485.0","Metal","Site 14_10-16-2021/Data for Site #14 10_16_21.xlsx"
"Auto Parts",0,"14.0","44485.0","Metal","Site 14_10-16-2021/Data for Site #14 10_16_21.xlsx"
"Batteries - Akaline",0,"14.0","44485.0","Metal","Site 14_10-16-2021/Data for Site #14 10_16_21.xlsx"
"Batteries - Lithium",0,"14.0","44485.0","Metal","Site 14_10-16-2021/Data for Site #14 10_16_21.xlsx"
"Metal Bottle Caps",0,"14.0","44485.0","Metal","Site 14_10-16-2021/Data for Site #14 10_16_21.xlsx"
"Metal Pipe/Bar Segments",0,"14.0","44485.0","Metal","Site 14_10-16-2021/Data for Site #14 10_16_21.xlsx"
"Nails, Screws, Bolts, etc.",0,"14.0","44485.0","Metal","Site 14_10-16-2021/Data for Site #14 10_16_21.xlsx"
"Spray Paint Cans",0,"14.0","44485.0","Metal","Site 14_10-16-2021/Data for Site #14 10_16_21.xlsx"
"Wire (barb, chicken, etc.)",0,"14.0","44485.0","Metal","Site 14_10-16-2021/Data for Site #14 10_16_21.xlsx"
"Metal Other (describe)",0,"14.0","44485.0","Metal","Site 14_10-16-2021/Data for Site #14 10_16_21.xlsx"
"Ceramic Pots/Shards",0,"14.0","44485.0","Miscellaneous","Site 14_10-16-2021/Data for Site #14 10_16_21.xlsx"
"E-waste",0,"14.0","44485.0","Miscellaneous","Site 14_10-16-2021/Data for Site #14 10_16_21.xlsx"
"Foam rubber",0,"14.0","44485.0","Miscellaneous","Site 14_10-16-2021/Data for Site #14 10_16_21.xlsx"
"Hose/Hose Pieces",0,"14.0","44485.0","Miscellaneous","Site 14_10-16-2021/Data for Site #14 10_16_21.xlsx"
"Mylar balloons",0,"14.0","44485.0","Miscellaneous","Site 14_10-16-2021/Data for Site #14 10_16_21.xlsx"
"Rubber/Rubber Pieces",0,"14.0","44485.0","Miscellaneous","Site 14_10-16-2021/Data for Site #14 10_16_21.xlsx"
"Sports Balls",2,"14.0","44485.0","Miscellaneous","Site 14_10-16-2021/Data for Site #14 10_16_21.xlsx"
